id,genre,track_name,artist_name,valence,energy
5bSPF76iSpI5p00BALV8uo,acoustic,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.407,0.38
4oa14QBfWRDfJy2agySy0L,acoustic,Gravity,Sara Bareilles,0.231,0.275
7bcP9k51f1VNCaFUyZ3P5M,acoustic,Life for Rent,Dido,0.159,0.533
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.168,0.44
2CB6uRG30rEFOuIxQ6E6dY,acoustic,The Scientist,Various Artists,0.203,0.462
13ZxF2d4gzN0Qnhr8gRkWe,afrobeat,He Lives In You (Reprise),Various Artists,0.524,0.344
6S1cd5F5cpflZq6bAXQmg1,afrobeat,Nomvula (After the Rain),Freshlyground,0.418,0.295
6VhfsXyTnRRnNX77dQO1WA,afrobeat,Shining Star,Nneka,0.532,0.595
0bTIb1hVHD656dTDcfPLQc,afrobeat,Jupa - Remix,Various Artists,0.962,0.688
3oJOtvPbyOqRPlFvspQP3o,afrobeat,Djuru,Amadou & Mariam,0.697,0.798
6qWCceDp8iXrTu8vkKDdHD,alt-rock,Will You Come Back My Love,Various Artists,0.82,0.412
7izsUQjOYXVWkmFvEpTakb,alt-rock,Bound For The Floor,Local H,0.543,0.489
6dukhmiEW9k5OZb195VvKC,alt-rock,Batalio rep,Various Artists,0.564,0.749
1fvGs20dhb5eyiAurPO75y,alt-rock,Push And Shove,No Doubt,0.513,0.897
5FFowl1Ve4S5OehL6OywSg,alt-rock,Waiting Room,Fugazi,0.54,0.727
6cJqlSO19vsfCsH1FeFI35,alternative,Santeria,Sublime,0.585,0.772
0LtsuNRz3IMRrHCYO9fKRk,alternative,Beautiful Disaster,311,0.675,0.738
0ksiY8wT3FO1jrnafef7oR,alternative,Up & Out,Matthew Dear,0.705,0.642
34MsBWz1mAQYER6zloRGJf,alternative,Believer,American Authors,0.873,0.967
6mfkHv00I6jhHIn7EWHJ2N,alternative,Just A Girl,No Doubt,0.779,0.937
1ph6Bncj7s3BmYp6FkIzP8,ambient,Miss You,Various Artists,0.216,0.134
70RJ8ZttRmTieexbqtrRRf,ambient,VCR (The xx cover),The Antlers,0.259,0.821
4mcDWFiTDWIPJmXytF38UQ,ambient,Death Of The Author,Jenny Hval,0.115,0.413
5HzfnZhtGRSenfvmdnY7aV,ambient,Silver Morning - Remastered 2005,Brian Eno,0.151,0.237
0AvNnVWc6vl0ylt0s9S1tF,ambient,Betula Pendula,Carbon Based Lifeforms,0.0656,0.321
294HCimuluW3VEfaokg7oX,anime,Hikari,Wataru Hatano,0.584,0.952
4PykuFIJt1YlG1mvyYr0kY,anime,悲しみよこんにちは,Yuki Saito,0.715,0.814
4BPpjDhI1cRqu6nROATnGG,anime,コバルト・スカイ,Eir Aoi,0.636,0.916
1GPWsvhUkIqCnzPsJOOisT,anime,素顔でKISS ME,"Wake Up, Girls!",0.476,0.939
518CPukIiRVTbejZ6W94K1,anime,Revise the World,Various Artists,0.252,0.662
6BzW6WSOL3ay7sz3rEilZ6,black-metal,A Fine Day To Die,Emperor,0.0381,0.976
1AfLXHuyOCgynEzeOBEbkh,black-metal,Martyrium,Windir,0.139,0.866
55Z3b5qDG69Vlq8Tu0cfhG,black-metal,Crosstitution,Bathory,0.201,0.794
6Xl1Do3PBtuXhAoAjNwSDM,black-metal,Buried By Time and Dust - Live in Leipzig,Mayhem,0.00772,0.862
5kHIOwn8UOvuBMPIuwYntj,black-metal,At the Stormy Gates of Mist,Immortal,0.0287,0.98
4paa6fFGnUOmohBmoCzmdx,bluegrass,High On the Mountain,The Del McCoury Band,0.801,0.458
7bbCWvXoOSDhbSU8G2YC93,bluegrass,Won't Be Coming Back,The Infamous Stringdusters,0.874,0.652
